Fecha entrada,Fecha Anulacion,Fecha venta,Noches,Tip.Hab.Fra.,Régimen factura,AD,NI,CU,Horario venta,Precio alojamiento,Precio desayuno,Precio almuerzo,Precio cena,Cantidad Habitaciones,Mes Entrada,Mes Venta,Antelacion,Score Canc
2016-08-07,2016-08-05,2016-08-02,3,EC,PC,1,0,0,Mañana,335.16,17.64,44.1,44.1,1,August,August,5,0.5
2016-08-26,2016-08-18,2016-08-02,3,EC,PC,2,1,1,Mañana,314.88,16.56,41.43,41.43,1,August,August,24,0.36
2016-09-03,2016-08-29,2016-08-02,3,EC,PC,2,0,0,Tarde,296.97,15.63,39.09,39.09,1,September,August,32,0.18181818181818182
2016-08-15,2016-08-09,2016-08-02,6,EC,MPA,1,0,0,Noche,491.08002,22.86,57.12,0.0,1,August,August,13,0.5
2016-08-22,2016-08-10,2016-08-02,5,EC,PC,2,0,1,Noche,591.75,31.15,77.85,77.85,1,August,August,20,0.6190476190476191
2016-09-12,2016-09-08,2016-08-03,2,EC,PC,2,0,0,Mañana,153.86,8.1,20.24,20.24,1,September,August,40,0.12195121951219512
2016-08-08,2016-08-04,2016-08-03,3,EC,SA,2,0,0,Tarde,445.92,0.0,0.0,0.0,2,August,August,5,0.8333333333333334
2016-08-08,2016-08-04,2016-08-03,3,EC,SA,2,0,0,Tarde,445.92,0.0,0.0,0.0,2,August,August,5,0.8333333333333334
2016-09-08,2016-08-08,2016-08-03,3,EC,MPC,2,1,0,Tarde,363.06,16.89,0.0,42.21,1,September,August,36,0.8648648648648649
2016-08-12,2016-08-05,2016-08-03,3,EC,SA,2,0,0,Noche,445.92,0.0,0.0,0.0,1,August,August,9,0.8
2016-09-08,2016-08-11,2016-08-03,3,EC,MPC,2,0,0,Noche,363.0,16.89,0.0,42.21,1,September,August,36,0.7837837837837838
2016-08-24,2016-08-11,2016-08-04,3,EC,PC,2,0,0,Mañana,433.11,22.8,57.0,57.0,1,August,August,20,0.6666666666666666
2016-08-26,2016-08-06,2016-08-04,5,EM,SA,2,0,0,Tarde,685.1600000000001,0.0,0.0,0.0,1,August,August,22,0.9130434782608695
2016-08-09,2016-08-05,2016-08-04,3,EC,SA,2,0,0,Tarde,349.97001,0.0,0.0,0.0,1,August,August,5,0.8333333333333334
2016-08-14,2016-08-04,2016-08-04,4,EC,SA,2,0,0,Tarde,594.56,0.0,0.0,0.0,1,August,August,10,1.0
2016-08-14,2016-08-10,2016-08-04,3,EC,PC,4,0,0,Noche,376.02,19.8,49.47,49.47,2,August,August,10,0.45454545454545453
2016-08-14,2016-08-10,2016-08-04,3,EC,PC,4,0,0,Noche,376.02,19.8,49.47,49.47,2,August,August,10,0.45454545454545453
2016-08-09,2016-08-05,2016-08-04,3,EC,HD,2,0,0,Noche,462.63,19.29,0.0,0.0,1,August,August,5,0.8333333333333334
2016-09-14,2016-08-05,2016-08-04,1,EC,HD,2,0,0,Noche,55.12,2.3,0.0,0.0,1,September,August,41,0.9761904761904762
2016-08-18,2016-08-05,2016-08-04,3,DSC,SA,2,1,0,Noche,0.0,0.0,0.0,0.0,3,August,August,14,0.9333333333333333
2016-08-20,2016-08-12,2016-08-04,5,EM,PC,2,0,0,Noche,782.8,41.2,103.0,103.0,1,August,August,16,0.5294117647058824
2016-09-03,2016-08-26,2016-08-04,3,EC,PC,3,0,0,Noche,400.9500000000001,21.09,52.74,52.74,1,September,August,30,0.2903225806451613
2016-09-03,2016-08-26,2016-08-04,3,EC,PC,3,0,0,Noche,371.31,19.53,48.84,48.84,1,September,August,30,0.2903225806451613
2016-08-16,2016-08-10,2016-08-05,5,EC,SA,2,0,1,Mañana,743.1999999999999,0.0,0.0,0.0,1,August,August,11,0.5833333333333334
2016-08-18,2016-08-05,2016-08-05,5,EC,SA,3,0,0,Mañana,993.57,0.0,0.0,0.0,1,August,August,13,1.0
2016-09-03,2016-08-05,2016-08-05,3,DSC,PC,2,0,0,Tarde,311.1,16.38,40.92,40.92,2,September,August,29,1.0
2016-09-03,2016-08-05,2016-08-05,3,DSC,PC,2,0,0,Tarde,311.1,16.38,40.92,40.92,2,September,August,29,1.0
2016-08-12,2016-08-11,2016-08-03,5,EC,SA,2,0,0,Tarde,743.1999999999999,0.0,0.0,0.0,1,August,August,9,0.2
2016-09-01,2016-08-16,2016-08-05,3,DSC,PC,2,2,0,Noche,448.56000000000006,23.61,59.04,59.04,1,September,August,27,0.6071428571428571
2016-09-01,2016-08-16,2016-08-05,3,DSC,PC,3,0,0,Noche,440.4,23.19,57.96,57.96,1,September,August,27,0.6071428571428571
2016-08-12,2016-08-05,2016-08-05,3,EC,PC,2,0,0,Noche,273.48999000000003,14.4,35.97,35.97,1,August,August,7,1.0
2016-09-03,2016-08-08,2016-08-06,7,DSC,MPC,2,0,1,Mañana,759.40998,35.35,0.0,88.33999999999999,1,September,August,28,0.9310344827586207
2016-08-21,2016-08-09,2016-08-08,3,EC,MPC,3,1,0,Mañana,563.97,26.22,0.0,65.58,1,August,August,13,0.9285714285714286
2016-08-12,2016-08-10,2016-08-08,4,EC,PC,2,0,0,Mañana,364.65,19.2,47.96,47.96,2,August,August,4,0.6
2016-08-10,2016-08-08,2016-08-08,5,EC,MPA,2,0,0,Mañana,744.81,34.65,86.6,0.0,1,August,August,2,1.0
2016-09-12,2016-08-09,2016-08-08,4,EC,PC,2,0,0,Mañana,307.72,16.2,40.48,40.48,2,September,August,35,0.9722222222222222
2016-09-12,2016-08-09,2016-08-08,4,EC,PC,2,0,0,Mañana,307.72,16.2,40.48,40.48,2,September,August,35,0.9722222222222222
